"PT_ID","VS_cen","SH_cen","SH_lo","SH_hi","FPS_cen","Rank","Reco_Net","displ","Latitude","Longitude"
69,-999.9,0.8,-999.9,-999.9,-999.9,"Principal",0.8,0.8,40.484922760001,-117.532814500002
85,-999.9,2.4,-999.9,-999.9,-999.9,"Principal",2.4,2.4,40.542754490001,-117.482473000002
83,-999.9,1.2,-999.9,-999.9,-999.9,"Principal",1.2,1.2,40.549035120001,-117.484965700002
80,-999.9,0.8,-999.9,-999.9,-999.9,"Principal",0.8,0.8,40.563866730001,-117.489235800002
79,-999.9,0.9,-999.9,-999.9,-999.9,"Principal",0.9,0.9,40.566773140001,-117.489644400002
81,-999.9,1.2,-999.9,-999.9,-999.9,"Principal",1.2,1.2,40.572565280001,-117.487901900002
82,-999.9,0.5,-999.9,-999.9,-999.9,"Principal",0.5,0.5,40.578508950001,-117.484995500002
84,-999.9,0.5,-999.9,-999.9,-999.9,"Principal",0.5,0.5,40.585840390001,-117.484027900002
86,-999.9,0.1,-999.9,-999.9,-999.9,"Principal",0.1,0.1,40.597316210001,-117.475975000002
87,-999.9,1,-999.9,-999.9,-999.9,"Principal",1,1,40.602575170001,-117.472189900002
88,-999.9,1.5,-999.9,-999.9,-999.9,"Principal",1.5,1.5,40.604889280001,-117.469141200002
89,-999.9,0.8,-999.9,-999.9,-999.9,"Principal",0.8,0.8,40.610360020001,-117.463966600002
90,-999.9,0.3,-999.9,-999.9,-999.9,"Principal",0.3,0.3,40.613851840001,-117.459255700002
